"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","809","Sort By A to Z","Shoping Chart","Thu Oct 17 23:04:06 WIB 2024","passed","Thu Oct 17 23:04:07 WIB 2024","","Sorting name and price","",""
"","603","Price (High to Low)","Shoping Chart","Thu Oct 17 23:04:08 WIB 2024","passed","Thu Oct 17 23:04:09 WIB 2024","","Sorting name and price","",""
"","4920","Checkout","Shoping Chart","Thu Oct 17 23:03:58 WIB 2024","passed","Thu Oct 17 23:04:03 WIB 2024","","Shopping Cart Functionality","",""
"","201","As a user, I can't login with invalid credentials","Shoping Chart","Thu Oct 17 23:03:50 WIB 2024","passed","Thu Oct 17 23:03:51 WIB 2024","","Login","",""
"","2348","Add Item","Shoping Chart","Thu Oct 17 23:03:55 WIB 2024","passed","Thu Oct 17 23:03:58 WIB 2024","","Shopping Cart Functionality","",""
"","181","As a user, I can login with valid credentials","Shoping Chart","Thu Oct 17 23:03:53 WIB 2024","passed","Thu Oct 17 23:03:53 WIB 2024","","Login","",""
"","341","As user, i can't login without password","Shoping Chart","Thu Oct 17 23:03:52 WIB 2024","passed","Thu Oct 17 23:03:53 WIB 2024","","Login","",""
"","599","Sort By Z to A","Shoping Chart","Thu Oct 17 23:04:07 WIB 2024","passed","Thu Oct 17 23:04:08 WIB 2024","","Sorting name and price","",""
"","1665","As user, i can't login without username","Shoping Chart","Thu Oct 17 23:03:51 WIB 2024","passed","Thu Oct 17 23:03:52 WIB 2024","","Login","",""
"","530","Remove Item","Shoping Chart","Thu Oct 17 23:03:58 WIB 2024","passed","Thu Oct 17 23:03:58 WIB 2024","","Shopping Cart Functionality","",""
"","607","Price (Low to High)","Shoping Chart","Thu Oct 17 23:04:08 WIB 2024","passed","Thu Oct 17 23:04:08 WIB 2024","","Sorting name and price","",""
